title,artist,year,type,latitude,longitude
The Lion Fighter,Albert Wolff,1858,Mural/Public Art,39.964575,-75.180100
Lion Head Trough,,1869,Mural/Public Art,39.946250,-75.152500
Lions,,1891,Mural/Public Art,39.983575,-75.208935
Lips,Franz West,2012,Mural/Public Art,39.967275,-75.181900
Living Flame Memorial,Reginald Beauchamp,1976,Mural/Public Art,39.955400,-75.149825
LOVE,Robert Indiana,1976,Mural/Public Art,39.954150,-75.165500
LOVE,Robert Indiana,1966,Mural/Public Art,39.951825,-75.194875
Lovett Memorial Reading Garden Benches,Warren C. Holzman,2004,Mural/Public Art,40.056650,-75.187525
Maja,Gerhard Marcks,1942,Mural/Public Art,39.961250,-75.176020
Major,Charles Fahlen,1982,Mural/Public Art,39.947075,-75.154575
Major General George Gordon Meade,Alexander Milne Calder,1887,Mural/Public Art,39.981075,-75.208140
Major General John Fulton Reynolds,John Rogers,1883,Mural/Public Art,39.953225,-75.163250
Major General John Fulton Reynolds Memorial,,,Mural/Public Art,39.922610,-75.186710
Major General Peter Muhlenberg,J. Otto Schweizer,1910,Mural/Public Art,39.966600,-75.181950
Manayunk Stoops: Heart and Home,Diane Pieri,2006,Mural/Public Art,40.023820,-75.221710
Mangbusucks,,1695,Mural/Public Art,,
Mario the Magnificent,Eric Berg,2002,Mural/Public Art,39.955400,-75.189325
Marquis de Lafayette,Raoul Josset,1947,Mural/Public Art,39.967025,-75.183200
Mary,,,Mural/Public Art,39.958125,-75.167450
Mary,,,Mural/Public Art,39.945650,-75.152025
Mary,,,Mural/Public Art,39.951380,-75.173380
Mary,,,Mural/Public Art,39.937500,-75.155430
Mary,,,Mural/Public Art,39.945800,-75.149665
Mary,,,Mural/Public Art,40.032445,-75.146460
Mary,,,Mural/Public Art,39.951300,-75.161275
Mary and Jesus,,,Mural/Public Art,39.971110,-75.217450
Mary Dyer,Sylvia Shaw Judson,1960,Mural/Public Art,39.955650,-75.164900
Masnad,Bryan Hunt,1980,Mural/Public Art,39.952640,-75.199250
Matthias William Baldwin,Herbert Adams,1905,Mural/Public Art,39.953000,-75.163000
Mayan Game Group,Joyce de Guatemala,1981,Mural/Public Art,39.989725,-75.131900
McVeigh Children's Relief,Anthony Visco,1981,Mural/Public Art,40.000610,-75.121435
The Medicine Man,Cyrus E. Dallin,1899,Mural/Public Art,39.992175,-75.189200
Meher,Khoren Der Harootian,1975,Mural/Public Art,39.966500,-75.179800
Memorial to Enslaved People of African Descent in the United States of America,Emanuel Kelly (Architect),2010,Mural/Public Art,39.950300,-75.150050
Mike Schmidt,Zenos Frudakis,2004,Mural/Public Art,39.905000,-75.168150
The Miner,John B. Flannagan,1938,Mural/Public Art,39.973375,-75.190850
Mitosis,Clark B. Fitz-Gerald,1970,Mural/Public Art,39.903800,-75.243600
Momentum,Michael Speller,2012,Mural/Public Art,39.955950,-75.189600
Monster Capital Fountain,Peter Rockwell,1980,Mural/Public Art,39.948110,-75.183260
Monument in Waiting,Theaster Gates,2020,Mural/Public Art,39.954260,-75.188610
Monument to the Six Million Jewish Martyrs,Nathan Rapoport,1964,Mural/Public Art,39.955035,-75.167100
Morphic Opening,James Lloyd,1974,Mural/Public Art,39.956210,-75.195550
Morton McMichael,John H. Mahoney,1881,Mural/Public Art,39.973150,-75.189025
Mother and Child (or See the Moon),Evelyn Keyser,1964,Mural/Public Art,39.928975,-75.168875
The Mounted Amazon Attacked by a Panther,August Kiss,1839,Mural/Public Art,39.964950,-75.179650
Mr. Baseball,Harry Rosin,1957,Mural/Public Art,39.906160,-75.168450
Mummer,Ken Clark,1982,Mural/Public Art,39.927650,-75.151650
Mustang at Play,Margaret Wasserman Levy,1969,Mural/Public Art,39.942900,-75.146200
MVP,Brian McCutcheon,2019,Mural/Public Art,39.925890,-75.187240
Nandi,,1500,Mural/Public Art,,
Ned Wolf Memorial,Peter Rockwell,1978,Mural/Public Art,40.030025,-75.187250
Negro Leagues Memorial,Phil Sumpter,2005,Mural/Public Art,39.977675,-75.213700
Nesaika,John Rhoden,1976,Mural/Public Art,39.953250,-75.151600
Newkirk Viaduct Monument,Thomas Ustick Walter,1839,Mural/Public Art,39.940010,-75.206330
Night,Edward Stauch,1872,Mural/Public Art,39.982800,-75.210725
Object for Expression,Warren C. Holzman,2012,Mural/Public Art,39.940650,-75.162700
Odyssey,Tony Rosenthal,1983,Mural/Public Art,39.955225,-75.152375
Old St. Mary's Bench,,,Mural/Public Art,39.945375,-75.148475
One Meridian Plaza Fire Memorial,,2009,Mural/Public Art,39.951565,-75.164500
Open Air Aquarium,Magdalena Abakanowicz,2003,Mural/Public Art,39.939200,-75.141975
Orball,Ken Clark,1976,Mural/Public Art,40.018850,-75.049050
Orestes and Pylades Fountain,Herman Kirn,1884,Mural/Public Art,39.981300,-75.189250
Otters,Henry Mitchell,1979,Mural/Public Art,39.947965,-75.157975
Our Lady of Fatima Pray for Us,,,Mural/Public Art,39.966370,-75.168885
OY/YO,Deborah Kass,2022,Mural/Public Art,39.950400,-75.148840
Pan with Sundial,Beatrice Fenton,1938,Mural/Public Art,39.952385,-75.193500
Paper in Motion,Tony Trezza,1983,Mural/Public Art,39.902225,-75.232950
Papyrus ,Greg Leavitt,1985,Mural/Public Art,39.897150,-75.233700
Pastorius Monument,Albert Jaegers,1917,Mural/Public Art,40.036900,-75.176150
Patrick Ward Memorial Park,,,Mural/Public Art,39.968800,-75.176900
